F:\car\data\IMG\center_2019_03_24_17_39_04_040.jpg,F:\car\data\IMG\left_2019_03_24_17_39_04_040.jpg,F:\car\data\IMG\right_2019_03_24_17_39_04_040.jpg,0,0,0,12.61245
F:\car\data\IMG\center_2019_03_24_17_39_04_099.jpg,F:\car\data\IMG\left_2019_03_24_17_39_04_099.jpg,F:\car\data\IMG\right_2019_03_24_17_39_04_099.jpg,0,0,0,12.578
F:\car\data\IMG\center_2019_03_24_17_39_04_220.jpg,F:\car\data\IMG\left_2019_03_24_17_39_04_220.jpg,F:\car\data\IMG\right_2019_03_24_17_39_04_220.jpg,0,0,0,12.33329
F:\car\data\IMG\center_2019_03_24_17_39_04_334.jpg,F:\car\data\IMG\left_2019_03_24_17_39_04_334.jpg,F:\car\data\IMG\right_2019_03_24_17_39_04_334.jpg,0,0,0,12.1811
F:\car\data\IMG\center_2019_03_24_17_39_04_461.jpg,F:\car\data\IMG\left_2019_03_24_17_39_04_461.jpg,F:\car\data\IMG\right_2019_03_24_17_39_04_461.jpg,0,0,0,12.03311
F:\car\data\IMG\center_2019_03_24_17_39_04_590.jpg,F:\car\data\IMG\left_2019_03_24_17_39_04_590.jpg,F:\car\data\IMG\right_2019_03_24_17_39_04_590.jpg,0,0,0,11.88239
F:\car\data\IMG\center_2019_03_24_17_39_04_709.jpg,F:\car\data\IMG\left_2019_03_24_17_39_04_709.jpg,F:\car\data\IMG\right_2019_03_24_17_39_04_709.jpg,0,0,0,11.73929
F:\car\data\IMG\center_2019_03_24_17_39_04_812.jpg,F:\car\data\IMG\left_2019_03_24_17_39_04_812.jpg,F:\car\data\IMG\right_2019_03_24_17_39_04_812.jpg,0,0,0,11.58172
F:\car\data\IMG\center_2019_03_24_17_39_04_922.jpg,F:\car\data\IMG\left_2019_03_24_17_39_04_922.jpg,F:\car\data\IMG\right_2019_03_24_17_39_04_922.jpg,0,0,0,11.4817
F:\car\data\IMG\center_2019_03_24_17_39_05_043.jpg,F:\car\data\IMG\left_2019_03_24_17_39_05_043.jpg,F:\car\data\IMG\right_2019_03_24_17_39_05_043.jpg,0,0,0,11.31705
F:\car\data\IMG\center_2019_03_24_17_39_05_151.jpg,F:\car\data\IMG\left_2019_03_24_17_39_05_151.jpg,F:\car\data\IMG\right_2019_03_24_17_39_05_151.jpg,0,0,0,11.25227
F:\car\data\IMG\center_2019_03_24_17_39_05_266.jpg,F:\car\data\IMG\left_2019_03_24_17_39_05_266.jpg,F:\car\data\IMG\right_2019_03_24_17_39_05_266.jpg,0,0,0,11.20222
F:\car\data\IMG\center_2019_03_24_17_39_05_352.jpg,F:\car\data\IMG\left_2019_03_24_17_39_05_352.jpg,F:\car\data\IMG\right_2019_03_24_17_39_05_352.jpg,0,0,0,11.05274
F:\car\data\IMG\center_2019_03_24_17_39_05_475.jpg,F:\car\data\IMG\left_2019_03_24_17_39_05_475.jpg,F:\car\data\IMG\right_2019_03_24_17_39_05_475.jpg,0,0,0,10.91975
F:\car\data\IMG\center_2019_03_24_17_39_05_593.jpg,F:\car\data\IMG\left_2019_03_24_17_39_05_593.jpg,F:\car\data\IMG\right_2019_03_24_17_39_05_593.jpg,0,0,0,10.78836
F:\car\data\IMG\center_2019_03_24_17_39_05_708.jpg,F:\car\data\IMG\left_2019_03_24_17_39_05_708.jpg,F:\car\data\IMG\right_2019_03_24_17_39_05_708.jpg,0,0,0,10.68007
F:\car\data\IMG\center_2019_03_24_17_39_05_838.jpg,F:\car\data\IMG\left_2019_03_24_17_39_05_838.jpg,F:\car\data\IMG\right_2019_03_24_17_39_05_838.jpg,-0.15,0,0,10.52427
F:\car\data\IMG\center_2019_03_24_17_39_05_962.jpg,F:\car\data\IMG\left_2019_03_24_17_39_05_962.jpg,F:\car\data\IMG\right_2019_03_24_17_39_05_962.jpg,0,0,0,10.36864
